platform,  ,description,state,image_path
Facebook,Ads from ad partners in other apps,You can choose whether you want to see ads from ad partners in other apps. The information we use to show you these ads is based on your Ad settings. Businesses not owned by Meta may use Meta's ad services to show you ads in other apps.,Show me ads from ad partners,Screenshot 2026-01-13 142600.png
Facebook,MentR-Me,Allows the user to manage their inclusion in the advertising audience for MentR-Me (@MentrMe1) and decide whether the platform can show ads from this advertiser based on this data.,Click to manage,Screenshot 2026-01-13 142627.png
Facebook,Student Beans,Allows the user to manage their inclusion in the advertising audience for Student Beans (@StudentBeans) and decide whether the platform can show ads from this advertiser based on this data.,Click to manage,Screenshot 2026-01-13 142627.png
Facebook,Uniqlo Canada,Allows the user to manage their inclusion in the advertising audience for Uniqlo Canada (@UNIQLOCanada) and decide whether the platform can show ads from this advertiser based on this data.,Click to manage,Screenshot 2026-01-13 142627.png
Facebook,QS Top Universities Latin America,Allows the user to manage their inclusion in the advertising audience for QS Top Universities Latin America (@QSTopUniversitiesLatinAmerica) and decide whether the platform can show ads from this advertiser based on this data.,Click to manage,Screenshot 2026-01-13 142627.png
Facebook,See more,View more advertisers whose audiences you have been included in.,Click to view more,Screenshot 2026-01-13 142627.png
Facebook,Change password,"Manage your passwords, login preferences and recovery methods. This option navigates to the password change screen.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Two-factor authentication,"Manage your passwords, login preferences and recovery methods. This option navigates to the two-factor authentication setup screen.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Saved login,"Manage your passwords, login preferences and recovery methods. This option navigates to the saved login information screen.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Passkey,"Manage your passwords, login preferences and recovery methods. This option navigates to the passkey management screen.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Where you're logged in,"Review security issues by running checks across apps, devices and emails sent. This option shows where your account is currently logged in.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Login alerts,"Review security issues by running checks across apps, devices and emails sent. This option allows you to manage alerts for unrecognized logins.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Recent emails,"Review security issues by running checks across apps, devices and emails sent. This option shows recent security-related emails sent from the service.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Security Checkup,"Review security issues by running checks across apps, devices and emails sent. This option starts a guided review of your security settings.",navigation link,Screenshot 2026-01-13 142814.png
Facebook,Your accounts & profiles,Select the account or profile for which to manage search history.,Jesse Huang - Facebook,Screenshot 2026-01-13 143345.png
Facebook,Keep searches for,Controls the duration for which search history is retained.,Default,Screenshot 2026-01-13 143345.png
Facebook,Clear all searches,An action to delete all of your search history.,Available action,Screenshot 2026-01-13 143345.png
Linkedin,Email addresses,Manage the email addresses associated with your account.,zoomaitester10@gmail.com,Me-icon_Settings-&-Privacy_Sign-in-&-security.png
Linkedin,Phone numbers,Manage the phone numbers associated with your account.,navigational,Me-icon_Settings-&-Privacy_Sign-in-&-security.png
Linkedin,Passkeys,Manage passkeys for signing in.,navigational,Me-icon_Settings-&-Privacy_Sign-in-&-security.png
Linkedin,Where you're signed in,View and manage your active sessions.,navigational,Me-icon_Settings-&-Privacy_Sign-in-&-security.png
Linkedin,Devices that remember your password,View and manage devices that have saved your password.,navigational,Me-icon_Settings-&-Privacy_Sign-in-&-security.png
Linkedin,Two-factor authentication,Add an extra layer of security to your account.,Off,Me-icon_Settings-&-Privacy_Sign-in-&-security.png
Linkedin,Download larger data archive,"Download larger data archive, including connections, verifications, contacts, account history, and information we infer about you based on your profile and activity.",unselected,Screenshot 2026-01-12 220351.png
Linkedin,Want something in particular?,Select the data files you're most interested in.,unselected,Screenshot 2026-01-12 220351.png
Linkedin,Articles,Select to include Articles in the data download.,unchecked,Screenshot 2026-01-12 220351.png
Linkedin,Invitations,Select to include Invitations in the data download.,unchecked,Screenshot 2026-01-12 220351.png
Linkedin,Profile,Select to include Profile data in the data download.,unchecked,Screenshot 2026-01-12 220351.png
Linkedin,Recommendations,Select to include Recommendations in the data download.,unchecked,Screenshot 2026-01-12 220351.png
Linkedin,Registration,Select to include Registration data in the data download.,unchecked,Screenshot 2026-01-12 220351.png
Linkedin,Clear search history,"Clear all previous searches performed on LinkedIn. Your search history is only visible to you, and it helps us to show you better results.",action button,Screenshot 2026-01-12 220401.png
Linkedin,Edit demographics,Allows the user to provide or edit their demographic information to help promote fairness and diversity on LinkedIn.,action_button,Screenshot 2026-01-12 220423.png
Linkedin,Remove all personal demographic information,Allows the user to remove all personal demographic information they have provided. The button label is 'Remove'.,action_button,Screenshot 2026-01-12 220423.png
Linkedin,Use data for research,"Can we enable trusted third-party partners to use data about you for social, economic, and workplace research?",on,Screenshot 2026-01-12 220433.png
Linkedin,Use my data for training content creation AI models,"Can LinkedIn and its affiliates use your personal data and content you create on LinkedIn to train generative AI models that create content? When this setting is on, LinkedIn and its affiliates can use your data and content to train content-generating AI models that are used in product features. The data we use for this purpose does not include your private messages.",on,Screenshot 2026-01-12 220441.png
Linkedin,Who can send you invitations to connect?,"Controls which group of users can send you connection invitations. The available options are: Everyone on LinkedIn, Only people who know your email address or appear in your 'Imported Contacts' list, and Only people who appear in your 'Imported Contacts' list.",Everyone on LinkedIn (recommended),Screenshot 2026-01-12 220450.png
Linkedin,Allow page invitations,Allow your network and pages you engage with to send you invitations to follow pages?,on,Screenshot 2026-01-12 220546.png
Linkedin,Allow event invitations,Allow your network to send you event invitations?,on,Screenshot 2026-01-12 220546.png
Linkedin,Allow newsletter invitations,Allow your network to send you invitations to subscribe to newsletters?,on,Screenshot 2026-01-12 220546.png
Linkedin,Allow member invitations,Allow your network to send you invitations to follow them,on,Screenshot 2026-01-12 220546.png
Linkedin,Message requests,Allows others to send you message requests notifications?,on,Screenshot 2026-01-12 220559.png
Linkedin,InMail messages,Allow others to send you InMail? InMail allows you to directly message another LinkedIn member that you're not connected to.,on,Screenshot 2026-01-12 220559.png
Linkedin,Job invitation messages from recruiters,Allow recruiters to invite you to apply for jobs? Allow recruiters to send you messages with job card.,on,Screenshot 2026-01-12 220559.png
Linkedin,Research invitations,"Allow LinkedIn or third-party partners to send you invitations for participating in product feedback surveys, market research, and other studies?",on,Screenshot 2026-01-12 220623.png
Linkedin,Personalized promotions of LinkedIn products,"Can LinkedIn personalize how it promotes LinkedIn's own products to you on and off LinkedIn, based on your LinkedIn activity and profile? These promotions help you get the most out of our products.",on,Screenshot 2026-01-12 220646.png
Linkedin,LinkedIn promotional emails,"Can LinkedIn send you promotional emails to help you maximize the benefits of LinkedIn's products, based on your LinkedIn activity and profile?",on,Screenshot 2026-01-12 220646.png
Linkedin,Use Focused Inbox,"Do you want LinkedIn to sort your messages by relevance into a Focused tab and Other tab? When Focused Inbox is enabled, messages most relevant to you are sorted into the Focused tab while the rest remain easily accessible - but out of the way - in the Other tab.",on,Screenshot 2026-01-12 220659.png
Linkedin,Delivery indicators,"When messaging a connection who has it enabled, both of you will be able to see when each other is typing and when the message is read.",enabled,Screenshot 2026-01-12 220715.png
Linkedin,Messaging suggestions,"Allow LinkedIn to show you Messaging suggestions, some of which are personalized using automated systems to recognize patterns in messages?",on,Screenshot 2026-01-12 220741.png
Linkedin,Message nudges,Receive reminders about messages you haven't responded to.,on,Screenshot 2026-01-12 220751.png
Linkedin,Automated detection of harmful content,"Do you want LinkedIn's automated processes to detect certain policy violations by others, such as harassment, for the messages that are sent to you? When this setting is turned on, our automated processes will attempt to detect harmful content in the messages you receive that violate our Professional Community Policies.",on,Screenshot 2026-01-12 220806.png
Linkedin,Share profile with job poster,Share your profile with the job poster when you click Apply on a job that redirects you outside of LinkedIn? Turning this setting on may increase your chances of being viewed by the job poster.,on,Screenshot 2026-01-12 220830.png
Linkedin,Signal interest to recruiters,"Use your job alerts to signal interest to recruiters working at those companies. Opting into this setting sends a signal to recruiters who may want to contact a member, whenever a member creates a job alert for a company the recruiters work for.",on,Screenshot 2026-01-12 220908.png
Linkedin,Manage job alerts,A link to a page for managing job alerts.,not applicable,Screenshot 2026-01-12 220908.png
Linkedin,Use connections data,"Can we use information from your 1st-degree connections to show you more tailored ads on LinkedIn? This setting also applies to Ads outside of LinkedIn if that setting is turned on. Turning this off may make your ads less tailored, but won't reduce the number of ads you see.",on,Screenshot 2026-01-12 221615.png
Linkedin,Use followed companies data,"Can we use the list of companies you follow to show you more tailored ads on LinkedIn? This setting also applies to Ads outside of LinkedIn if that setting is turned on. Turning this off may make your ads less tailored, but won't reduce the number of ads you see.",enabled,Screenshot 2026-01-12 221626.png
Linkedin,Use groups data,"Can we use the groups you've joined to show you more tailored ads on LinkedIn? This setting also applies to Ads outside of LinkedIn if that setting is turned on. Turning this off may make your ads less tailored, but won't reduce the number of ads you see.",on,Screenshot 2026-01-12 221640.png
Linkedin,Schools,Allow LinkedIn to use your schools information to show you more tailored ads.,enabled,Screenshot 2026-01-12 221915.png
Linkedin,Field of study,Allow LinkedIn to use your field of study information to show you more tailored ads.,enabled,Screenshot 2026-01-12 221915.png
Linkedin,Degrees,Allow LinkedIn to use your degrees information to show you more tailored ads.,enabled,Screenshot 2026-01-12 221915.png
Linkedin,Skills,Allow LinkedIn to use your skills information to show you more tailored ads.,enabled,Screenshot 2026-01-12 221915.png
Linkedin,Last graduation year,Allow LinkedIn to use your last graduation year information to show you more tailored ads.,enabled,Screenshot 2026-01-12 221915.png
Linkedin,Current job,Allow LinkedIn to use your current job information to show you more tailored ads.,enabled,Screenshot 2026-01-12 221935.png
Linkedin,Past jobs,Allow LinkedIn to use your past jobs information to show you more tailored ads.,enabled,Screenshot 2026-01-12 221935.png
Linkedin,Current company,What employer history can we use to show you more tailored ads on LinkedIn? - Current company,enabled,Screenshot 2026-01-12 222014.png
Linkedin,Past companies,What employer history can we use to show you more tailored ads on LinkedIn? - Past companies,enabled,Screenshot 2026-01-12 222014.png
Linkedin,Use profile data for customized display,"Can we use your profile information (such as your photo, name, and company) to display ads to you on LinkedIn in a customized format? Ads formatted to display your profile information are visible only to you.",on,Screenshot 2026-01-12 222035.png
Linkedin,Use postal code and city you enter in your profile,"Can we use the postal code and city you enter in your profile to show you more tailored ads on LinkedIn? If you turn this off, you may still see ads based on your country or continent.",on,Screenshot 2026-01-12 222056.png
Linkedin,Use Inferred city location,"We may infer your city from your IP address. Can we use that data to show you personalized ads on LinkedIn? If you turn this off, you may still see ads based on your country or continent",on,Screenshot 2026-01-12 222105.png
Linkedin,Interests and traits,Can we use interests and traits we derived from your LinkedIn profile and activity to show you more tailored ads on LinkedIn?,enabled,Screenshot 2026-01-12 222123.png
Linkedin,AI Enthusiasts,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Accounting,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Advertising Strategies,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Affinity for Automotive Brands,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Affinity for Electric Vehicles,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Agile Project Management,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Agriculture and Farming,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Agronomy and Agricultural Sciences,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Artificial Intelligence,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Arts and Entertainment,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Audio-Visual Production,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Augmented Reality,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Automotive Enthusiasts,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Automotive Enthusiasts,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Automotive Software,Include specific interests and traits,enabled,Screenshot 2026-01-12 222123.png
Linkedin,Use your age range for ads,Can we use your age range (from your profile or inferred) to show you more tailored ads on LinkedIn?,on,Screenshot 2026-01-12 222131.png
Linkedin,Use your gender for ads,Can we use your gender (from your profile or inferred) to show you more tailored ads on LinkedIn?,on,Screenshot 2026-01-12 222139.png
Linkedin,Ads off LinkedIn,Allows LinkedIn to show you personalized ads on other websites and services (off of LinkedIn). These personalized ads will be shown on all your devices whether or not you are logged into our services.,On,Screenshot 2026-01-12 222159.png
Linkedin,Use data from others,Can we use data about you that we get from others to show you more personalized ads? This includes data about your engagement with other services or information that you've given to our advertisers.,on,Screenshot 2026-01-12 222214.png
Linkedin,Use your data for evaluating ad success,Can we use data about actions you took in response to ads to give advertisers aggregate reports about how their ads performed?,on,Screenshot 2026-01-12 222224.png
Linkedin,Data sharing with our affiliates and select partners,"Controls whether LinkedIn can share your data with its affiliates and select partners for advertising off LinkedIn. Affiliates use this data to personalize and show you ads, and select partners use this data to show you marketing messages from LinkedIn. If you turn this off, you will still see ads, but they won't be personalized with your LinkedIn data.",on,Screenshot 2026-01-12 222234.png
